Word,Furigana,Romaji,JLPT,Hinshi,Golongan Kata Kerja,Bentuk Masu,Bentuk Negatif,Bentuk Lampau,Bentuk Te,Bentuk Potensial,Bentuk Keinginan,Bentuk Perintah,Bentuk Ajakan,Bentuk Kondisional,Bentuk Pasif,Bentuk Kausatif,Indonesia Meaning
巡る,めぐる,meguru,JLPT N2,Verb,Godan (Group 1),巡ります,巡らない,巡った,巡って,巡れる,巡りたい,巡れ,巡ろう,巡れば,巡られる,巡らせる,untuk berkeliling
迷信する,めいしんする,meishinsuru,JLPT N2,Verb,Suru (Group 3),迷信します,迷信しない,迷信した,迷信して,迷信できる,迷信したい,迷信しろ,迷信しよう,迷信すれば,迷信される,迷信させる,takhayul; kepercayaan takhayul
目眩する,めまいする,memaisuru,JLPT N2,Verb,Suru (Group 3),目眩します,目眩しない,目眩した,目眩して,目眩できる,目眩したい,目眩しろ,目眩しよう,目眩すれば,目眩される,目眩させる,Pusing; kepala terasa berat
面接する,めんせつする,mensetsusuru,JLPT N2,Verb,Suru (Group 3),面接します,面接しない,面接した,面接して,面接できる,面接したい,面接しろ,面接しよう,面接すれば,面接される,面接させる,wawancara (misalnya untuk pekerjaan)
免税する,めんぜいする,menzeisuru,JLPT N2,Verb,Suru (Group 3),免税します,免税しない,免税した,免税して,免税できる,免税したい,免税しろ,免税しよう,免税すれば,免税される,免税させる,pembebasan pajak; pembebasan bea
目指す,めざす,mezasu,JLPT N2,Verb,Godan (Group 1),目指します,目指さない,目指した,目指して,目指せる,目指したい,目指せ,目指そう,目指せば,目指される,目指させる,untuk membidik; untuk memperhatikan
見舞う,みまう,mimau,JLPT N2,Verb,Godan (Group 1),見舞います,見舞わない,見舞った,見舞って,見舞える,見舞いたい,見舞え,見舞おう,見舞えば,見舞われる,見舞わせる,menanyakan kabar (seseorang); mengunjungi
見直す,みなおす,minaosu,JLPT N2,Verb,Godan (Group 1),見直します,見直さない,見直した,見直して,見直せる,見直したい,見直せ,見直そう,見直せば,見直される,見直させる,untuk melihat lagi
見慣れる,みなれる,minareru,JLPT N2,Verb,Ichidan (Group 2),見慣れます,見慣れない,見慣れた,見慣れて,見慣れられる,見慣れたい,見慣れろ,見慣れよう,見慣れれば,見慣れられる,見慣れさせる,menjadi terbiasa melihat; menjadi akrab dengan
実る,みのる,minoru,JLPT N2,Verb,Godan (Group 1),実ります,実らない,実った,実って,実れる,実りたい,実れ,実ろう,実れば,実られる,実らせる,berbuah; matang
見送る,みおくる,miokuru,JLPT N2,Verb,Godan (Group 1),見送ります,見送らない,見送った,見送って,見送れる,見送りたい,見送れ,見送ろう,見送れば,見送られる,見送らせる,"Mengantar seseorang (di stasiun, bandara, dll.); mengawal (misalnya pulang ke rumah)"
見下ろす,みおろす,miorosu,JLPT N2,Verb,Godan (Group 1),見下ろします,見下ろさない,見下ろした,見下ろして,見下ろせる,見下ろしたい,見下ろせ,見下ろそう,見下ろせば,見下ろされる,見下ろさせる,untuk melihat dari atas; untuk menguasai pemandangan
診る,みる,miru,JLPT N2,Verb,Ichidan (Group 2),診ます,診ない,診た,診て,診られる,診たい,診ろ,診よう,診れば,診られる,診させる,untuk memeriksa (secara medis)
潜る,もぐる,moguru,JLPT N2,Verb,Godan (Group 1),潜ります,潜らない,潜った,潜って,潜れる,潜りたい,潜れ,潜ろう,潜れば,潜られる,潜らせる,menyelam (ke dalam atau di bawah air)
揉む,もむ,momu,JLPT N2,Verb,Godan (Group 1),揉みます,揉まない,揉んだ,揉んで,揉める,揉みたい,揉め,揉もう,揉めば,揉まれる,揉ませる,menggosok; meremas
問答する,もんどうする,mondousuru,JLPT N2,Verb,Suru (Group 3),問答します,問答しない,問答した,問答して,問答できる,問答したい,問答しろ,問答しよう,問答すれば,問答される,問答させる,pertanyaan dan jawaban; dialog
盛る,もる,moru,JLPT N2,Verb,Godan (Group 1),盛ります,盛らない,盛った,盛って,盛れる,盛りたい,盛れ,盛ろう,盛れば,盛られる,盛らせる,"untuk menyajikan (makanan, dll.); untuk membagikan"
凭れる,もたれる,motareru,JLPT N2,Verb,Ichidan (Group 2),凭れます,凭れない,凭れた,凭れて,凭れられる,凭れたい,凭れろ,凭れよう,凭れれば,凭れられる,凭れさせる,bersandar; bersandar pada
儲かる,もうかる,moukaru,JLPT N2,Verb,Godan (Group 1),儲かります,儲からない,儲かった,儲かって,儲かれる,儲かりたい,儲かれ,儲かろう,儲かれば,儲かられる,儲からせる,menguntungkan; menghasilkan keuntungan.
儲ける,もうける,moukeru,JLPT N2,Verb,Ichidan (Group 2),儲けます,儲けない,儲けた,儲けて,儲けられる,儲けたい,儲けろ,儲けよう,儲ければ,儲けられる,儲けさせる,untuk mendapatkan keuntungan; untuk memperoleh
矛盾する,むじゅんする,mujunsuru,JLPT N2,Verb,Suru (Group 3),矛盾します,矛盾しない,矛盾した,矛盾して,矛盾できる,矛盾したい,矛盾しろ,矛盾しよう,矛盾すれば,矛盾される,矛盾させる,kontradiksi; inkonsistensi
剥く,むく,muku,JLPT N2,Verb,Godan (Group 1),剥きます,剥かない,剥いた,剥いて,剥ける,剥きたい,剥け,剥こう,剥けば,剥かれる,剥かせる,mengupas; membersihkan kulit
蒸す,むす,musu,JLPT N2,Verb,Godan (Group 1),蒸します,蒸さない,蒸した,蒸して,蒸せる,蒸したい,蒸せ,蒸そう,蒸せば,蒸される,蒸させる,"untuk mengukus (makanan, handuk, dll.)"
撫でる,なでる,naderu,JLPT N2,Verb,Ichidan (Group 2),撫でます,撫でない,撫でた,撫でて,撫でられる,撫でたい,撫でろ,撫でよう,撫でれば,撫でられる,撫でさせる,untuk menyikat dengan lembut; untuk membelai
長引く,ながびく,nagabiku,JLPT N2,Verb,Godan (Group 1),長引きます,長引かない,長引いた,長引いて,長引ける,長引きたい,長引け,長引こう,長引けば,長引かれる,長引かせる,menjadi berkepanjangan; berlarut-larut
殴る,なぐる,naguru,JLPT N2,Verb,Godan (Group 1),殴ります,殴らない,殴った,殴って,殴れる,殴りたい,殴れ,殴ろう,殴れば,殴られる,殴らせる,memukul; menghantam
慰める,なぐさめる,nagusameru,JLPT N2,Verb,Ichidan (Group 2),慰めます,慰めない,慰めた,慰めて,慰められる,慰めたい,慰めろ,慰めよう,慰めれば,慰められる,慰めさせる,untuk menghibur; untuk menenangkan
仲直りする,なかなおりする,nakanaorisuru,JLPT N2,Verb,Suru (Group 3),仲直りします,仲直りしない,仲直りした,仲直りして,仲直りできる,仲直りしたい,仲直りしろ,仲直りしよう,仲直りすれば,仲直りされる,仲直りさせる,rekonsiliasi; berdamai dengan
鳴らす,ならす,narasu,JLPT N2,Verb,Godan (Group 1),鳴らします,鳴らさない,鳴らした,鳴らして,鳴らせる,鳴らしたい,鳴らせ,鳴らそう,鳴らせば,鳴らされる,鳴らさせる,berdering; berbunyi
生る,なる,naru,JLPT N2,Verb,Godan (Group 1),生ります,生らない,生った,生って,生れる,生りたい,生れ,生ろう,生れば,生られる,生らせる,berbuah
為す,なす,nasu,JLPT N2,Verb,Godan (Group 1),為します,為さない,為した,為して,為せる,為したい,為せ,為そう,為せば,為される,為させる,untuk membangun; untuk mendirikan
捩る,ねじる,nejiru,JLPT N2,Verb,Godan (Group 1),捩ります,捩らない,捩った,捩って,捩れる,捩りたい,捩れ,捩ろう,捩れば,捩られる,捩らせる,untuk memutar; untuk memelintir
狙う,ねらう,nerau,JLPT N2,Verb,Godan (Group 1),狙います,狙わない,狙った,狙って,狙える,狙いたい,狙え,狙おう,狙えば,狙われる,狙わせる,untuk bertujuan
熱する,ねっする,nessuru,JLPT N2,Verb,Suru (Group 3),熱します,熱しない,熱した,熱して,熱できる,熱したい,熱しろ,熱しよう,熱すれば,熱される,熱させる,memanaskan; menjadi panas
煮える,にえる,nieru,JLPT N2,Verb,Ichidan (Group 2),煮えます,煮えない,煮えた,煮えて,煮えられる,煮えたい,煮えろ,煮えよう,煮えれば,煮えられる,煮えさせる,untuk direbus; untuk dimasak
逃がす,にがす,nigasu,JLPT N2,Verb,Godan (Group 1),逃がします,逃がさない,逃がした,逃がして,逃がせる,逃がしたい,逃がせ,逃がそう,逃がせば,逃がされる,逃がさせる,untuk membebaskan; untuk melepaskan
濁る,にごる,nigoru,JLPT N2,Verb,Godan (Group 1),濁ります,濁らない,濁った,濁って,濁れる,濁りたい,濁れ,濁ろう,濁れば,濁られる,濁らせる,menjadi keruh; menjadi berawan
ニコニコする,ニコニコする,nikonikosuru,JLPT N2,Verb,Suru (Group 3),ニコニコします,ニコニコしない,ニコニコした,ニコニコして,ニコニコできる,ニコニコしたい,ニコニコしろ,ニコニコしよう,ニコニコすれば,ニコニコされる,ニコニコさせる,dengan seringai ramah; sambil tersenyum
憎む,にくむ,nikumu,JLPT N2,Verb,Godan (Group 1),憎みます,憎まない,憎んだ,憎んで,憎める,憎みたい,憎め,憎もう,憎めば,憎まれる,憎ませる,membenci; merasa jijik
匂う,におう,niou,JLPT N2,Verb,Godan (Group 1),匂います,匂わない,匂った,匂って,匂える,匂いたい,匂え,匂おう,匂えば,匂われる,匂わせる,menjadi harum; berbau (harum)
睨む,にらむ,niramu,JLPT N2,Verb,Godan (Group 1),睨みます,睨まない,睨んだ,睨んで,睨める,睨みたい,睨め,睨もう,睨めば,睨まれる,睨ませる,menatap dengan tajam; mengerutkan kening
煮る,にる,niru,JLPT N2,Verb,Ichidan (Group 2),煮ます,煮ない,煮た,煮て,煮られる,煮たい,煮ろ,煮よう,煮れば,煮られる,煮させる,mendidih; merebus perlahan
退ける,のける,nokeru,JLPT N2,Verb,Ichidan (Group 2),退けます,退けない,退けた,退けて,退けられる,退けたい,退けろ,退けよう,退ければ,退けられる,退けさせる,"untuk menyingkirkan sesuatu; untuk memindahkan (sesuatu, seseorang) ke samping."
乗り換えする,のりかえする,norikaesuru,JLPT N2,Verb,Suru (Group 3),乗り換えします,乗り換えしない,乗り換えした,乗り換えして,乗り換えできる,乗り換えしたい,乗り換えしろ,乗り換えしよう,乗り換えすれば,乗り換えされる,乗り換えさせる,"transfer (kereta api, bus, dll.); koneksi"
のろのろする,のろのろする,noronorosuru,JLPT N2,Verb,Suru (Group 3),のろのろします,のろのろしない,のろのろした,のろのろして,のろのろできる,のろのろしたい,のろのろしろ,のろのろしよう,のろのろすれば,のろのろされる,のろのろさせる,perlahan; lamban
載る,のる,noru,JLPT N2,Verb,Godan (Group 1),載ります,載らない,載った,載って,載れる,載りたい,載れ,載ろう,載れば,載られる,載らせる,untuk diletakkan di atas; untuk ditaruh di atas
覗く,のぞく,nozoku,JLPT N2,Verb,Godan (Group 1),覗きます,覗かない,覗いた,覗いて,覗ける,覗きたい,覗け,覗こう,覗けば,覗かれる,覗かせる,"mengintip (melalui lubang kunci, celah, dll.)"
濡らす,ぬらす,nurasu,JLPT N2,Verb,Godan (Group 1),濡らします,濡らさない,濡らした,濡らして,濡らせる,濡らしたい,濡らせ,濡らそう,濡らせば,濡らされる,濡らさせる,membasahi; merendam
縫う,ぬう,nuu,JLPT N2,Verb,Godan (Group 1),縫います,縫わない,縫った,縫って,縫える,縫いたい,縫え,縫おう,縫えば,縫われる,縫わせる,menjahit; menyulam
落ち着く,おちつく,ochitsuku,JLPT N2,Verb,Godan (Group 1),落ち着きます,落ち着かない,落ち着いた,落ち着いて,落ち着ける,落ち着きたい,落ち着け,落ち着こう,落ち着けば,落ち着かれる,落ち着かせる,untuk menenangkan diri; untuk mengendalikan diri
脅かす,おどかす,odokasu,JLPT N2,Verb,Godan (Group 1),脅かします,脅かさない,脅かした,脅かして,脅かせる,脅かしたい,脅かせ,脅かそう,脅かせば,脅かされる,脅かさせる,mengancam; membuat geram
驚かす,おどろかす,odorokasu,JLPT N2,Verb,Godan (Group 1),驚かします,驚かさない,驚かした,驚かして,驚かせる,驚かしたい,驚かせ,驚かそう,驚かせば,驚かされる,驚かさせる,untuk mengejutkan; untuk menakut-nakuti
拝む,おがむ,ogamu,JLPT N2,Verb,Godan (Group 1),拝みます,拝まない,拝んだ,拝んで,拝める,拝みたい,拝め,拝もう,拝めば,拝まれる,拝ませる,Mengambil posisi berdoa; menyatukan telapak tangan dan jari kedua tangan
補う,おぎなう,oginau,JLPT N2,Verb,Godan (Group 1),補います,補わない,補った,補って,補える,補いたい,補え,補おう,補えば,補われる,補わせる,"untuk mengkompensasi; untuk melengkapi  おぎなう: ichi1, news2, nf43. artinya: ichi1, berita2, nf43."
追いかける,おいかける,oikakeru,JLPT N2,Verb,Ichidan (Group 2),追いかけます,追いかけない,追いかけた,追いかけて,追いかけられる,追いかけたい,追いかけろ,追いかけよう,追いかければ,追いかけられる,追いかけさせる,mengejar; berlari mengejar
追い越す,おいこす,oikosu,JLPT N2,Verb,Godan (Group 1),追い越します,追い越さない,追い越した,追い越して,追い越せる,追い越したい,追い越せ,追い越そう,追い越せば,追い越される,追い越させる,untuk melewati (misalnya mobil); untuk menyalip
お辞儀する,おじぎする,ojigisuru,JLPT N2,Verb,Suru (Group 3),お辞儀します,お辞儀しない,お辞儀した,お辞儀して,お辞儀できる,お辞儀したい,お辞儀しろ,お辞儀しよう,お辞儀すれば,お辞儀される,お辞儀させる,membungkuk; memberi hormat
お代わりする,おかわりする,okawarisuru,JLPT N2,Verb,Suru (Group 3),お代わりします,お代わりしない,お代わりした,お代わりして,お代わりできる,お代わりしたい,お代わりしろ,お代わりしよう,お代わりすれば,お代わりされる,お代わりさせる,porsi kedua; cangkir lagi
怠る,おこたる,okotaru,JLPT N2,Verb,Godan (Group 1),怠ります,怠らない,怠った,怠って,怠れる,怠りたい,怠れ,怠ろう,怠れば,怠られる,怠らせる,lalai dalam melakukan sesuatu; mengelak
お参りする,おまいりする,omairisuru,JLPT N2,Verb,Suru (Group 3),お参りします,お参りしない,お参りした,お参りして,お参りできる,お参りしたい,お参りしろ,お参りしよう,お参りすれば,お参りされる,お参りさせる,ibadah; kunjungan ke tempat suci
思い込む,おもいこむ,omoikomu,JLPT N2,Verb,Godan (Group 1),思い込みます,思い込まない,思い込んだ,思い込んで,思い込める,思い込みたい,思い込め,思い込もう,思い込めば,思い込まれる,思い込ませる,memiliki kesan bahwa; yakin bahwa
思いつく,おもいつく,omoitsuku,JLPT N2,Verb,Godan (Group 1),思いつきます,思いつかない,思いついた,思いついて,思いつける,思いつきたい,思いつけ,思いつこう,思いつけば,思いつかれる,思いつかせる,memikirkan; menemukan
卸す,おろす,orosu,JLPT N2,Verb,Godan (Group 1),卸します,卸さない,卸した,卸して,卸せる,卸したい,卸せ,卸そう,卸せば,卸される,卸させる,untuk menjual secara grosir
押さえる,おさえる,osaeru,JLPT N2,Verb,Ichidan (Group 2),押さえます,押さえない,押さえた,押さえて,押さえられる,押さえたい,押さえろ,押さえよう,押さえれば,押さえられる,押さえさせる,untuk menahan sesuatu; untuk memerangkap sesuatu
治める,おさめる,osameru,JLPT N2,Verb,Ichidan (Group 2),治めます,治めない,治めた,治めて,治められる,治めたい,治めろ,治めよう,治めれば,治められる,治めさせる,untuk memerintah; untuk mengelola
教わる,おそわる,osowaru,JLPT N2,Verb,Godan (Group 1),教わります,教わらない,教わった,教わって,教われる,教わりたい,教われ,教わろう,教われば,教わられる,教わらせる,diajar (oleh); belajar dari
応援する,おうえんする,ouensuru,JLPT N2,Verb,Suru (Group 3),応援します,応援しない,応援した,応援して,応援できる,応援したい,応援しろ,応援しよう,応援すれば,応援される,応援させる,bantuan; pertolongan
往復する,おうふくする,oufukusuru,JLPT N2,Verb,Suru (Group 3),往復します,往復しない,往復した,往復して,往復できる,往復したい,往復しろ,往復しよう,往復すれば,往復される,往復させる,melakukan perjalanan pulang pergi; pergi dan kembali
応接する,おうせつする,ousetsusuru,JLPT N2,Verb,Suru (Group 3),応接します,応接しない,応接した,応接して,応接できる,応接したい,応接しろ,応接しよう,応接すれば,応接される,応接させる,penerimaan
応対する,おうたいする,outaisuru,JLPT N2,Verb,Suru (Group 3),応対します,応対しない,応対した,応対して,応対できる,応対したい,応対しろ,応対しよう,応対すれば,応対される,応対させる,menerima; menangani
プリントする,プリントする,purintosuru,JLPT N2,Verb,Suru (Group 3),プリントします,プリントしない,プリントした,プリントして,プリントできる,プリントしたい,プリントしろ,プリントしよう,プリントすれば,プリントされる,プリントさせる,cetak; salin
プログラムする,プログラムする,puroguramusuru,JLPT N2,Verb,Suru (Group 3),プログラムします,プログラムしない,プログラムした,プログラムして,プログラムできる,プログラムしたい,プログラムしろ,プログラムしよう,プログラムすれば,プログラムされる,プログラムさせる,program; program
来日する,らいにちする,rainichisuru,JLPT N2,Verb,Suru (Group 3),来日します,来日しない,来日した,来日して,来日できる,来日したい,来日しろ,来日しよう,来日すれば,来日される,来日させる,kedatangan di Jepang; datang ke Jepang
落第する,らくだいする,rakudaisuru,JLPT N2,Verb,Suru (Group 3),落第します,落第しない,落第した,落第して,落第できる,落第したい,落第しろ,落第しよう,落第すれば,落第される,落第させる,kegagalan; putus sekolah
乱暴する,らんぼうする,ranbousuru,JLPT N2,Verb,Suru (Group 3),乱暴します,乱暴しない,乱暴した,乱暴して,乱暴できる,乱暴したい,乱暴しろ,乱暴しよう,乱暴すれば,乱暴される,乱暴させる,kasar; kejam
ランチする,ランチする,ranchisuru,JLPT N2,Verb,Suru (Group 3),ランチします,ランチしない,ランチした,ランチして,ランチできる,ランチしたい,ランチしろ,ランチしよう,ランチすれば,ランチされる,ランチさせる,makan siang
冷凍する,れいとうする,reitousuru,JLPT N2,Verb,Suru (Group 3),冷凍します,冷凍しない,冷凍した,冷凍して,冷凍できる,冷凍したい,冷凍しろ,冷凍しよう,冷凍すれば,冷凍される,冷凍させる,pembekuan; penyimpanan dingin
連合する,れんごうする,rengousuru,JLPT N2,Verb,Suru (Group 3),連合します,連合しない,連合した,連合して,連合できる,連合したい,連合しろ,連合しよう,連合すれば,連合される,連合させる,persatuan; aliansi
ローンチする,ローンチする,ro-nchisuru,JLPT N2,Verb,Suru (Group 3),ローンチします,ローンチしない,ローンチした,ローンチして,ローンチできる,ローンチしたい,ローンチしろ,ローンチしよう,ローンチすれば,ローンチされる,ローンチさせる,meluncurkan
録音する,ろくおんする,rokuonsuru,JLPT N2,Verb,Suru (Group 3),録音します,録音しない,録音した,録音して,録音できる,録音したい,録音しろ,録音しよう,録音すれば,録音される,録音させる,rekaman (audio)
略す,りゃくす,ryakusu,JLPT N2,Verb,Godan (Group 1),略します,略さない,略した,略して,略せる,略したい,略せ,略そう,略せば,略される,略させる,menyingkat; menghilangkan
錆びる,さびる,sabiru,JLPT N2,Verb,Ichidan (Group 2),錆びます,錆びない,錆びた,錆びて,錆びられる,錆びたい,錆びろ,錆びよう,錆びれば,錆びられる,錆びさせる,berkarat; menjadi berkarat  さびる: ichi1. 錆びる: ichi1.
探る,さぐる,saguru,JLPT N2,Verb,Godan (Group 1),探ります,探らない,探った,探って,探れる,探りたい,探れ,探ろう,探れば,探られる,探らせる,meraba-raba; mencari-cari
裁縫する,さいほうする,saihousuru,JLPT N2,Verb,Suru (Group 3),裁縫します,裁縫しない,裁縫した,裁縫して,裁縫できる,裁縫したい,裁縫しろ,裁縫しよう,裁縫すれば,裁縫される,裁縫させる,jahit
催促する,さいそくする,saisokusuru,JLPT N2,Verb,Suru (Group 3),催促します,催促しない,催促した,催促して,催促できる,催促したい,催促しろ,催促しよう,催促すれば,催促される,催促させる,mendesak; menuntut
採点する,さいてんする,saitensuru,JLPT N2,Verb,Suru (Group 3),採点します,採点しない,採点した,採点して,採点できる,採点したい,採点しろ,採点しよう,採点すれば,採点される,採点させる,pemberian nilai; penilaian
遡る,さかのぼる,sakanoboru,JLPT N2,Verb,Godan (Group 1),遡ります,遡らない,遡った,遡って,遡れる,遡りたい,遡れ,遡ろう,遡れば,遡られる,遡らせる,untuk pergi ke hulu
裂く,さく,saku,JLPT N2,Verb,Godan (Group 1),裂きます,裂かない,裂いた,裂いて,裂ける,裂きたい,裂け,裂こう,裂けば,裂かれる,裂かせる,merobek; mengoyak
削除する,さくじょする,sakujosuru,JLPT N2,Verb,Suru (Group 3),削除します,削除しない,削除した,削除して,削除できる,削除したい,削除しろ,削除しよう,削除すれば,削除される,削除させる,penghapusan; pembatalan
作成する,さくせいする,sakuseisuru,JLPT N2,Verb,Suru (Group 3),作成します,作成しない,作成した,作成して,作成できる,作成したい,作成しろ,作成しよう,作成すれば,作成される,作成させる,"menyusun (misalnya dokumen hukum, kontrak, surat wasiat, dll.); mempersiapkan"
作製する,さくせいする,sakuseisuru,JLPT N2,Verb,Suru (Group 3),作製します,作製しない,作製した,作製して,作製できる,作製したい,作製しろ,作製しよう,作製すれば,作製される,作製させる,"pembuatan  さくせい: ichi1, news2, nf28. Contoh: ichi1, berita2, nf28."
冷ます,さます,samasu,JLPT N2,Verb,Godan (Group 1),冷まします,冷まさない,冷ました,冷まして,冷ませる,冷ましたい,冷ませ,冷まそう,冷ませば,冷まされる,冷まさせる,Mendinginkan (misalnya dari suhu tinggi ke suhu ruangan); membiarkan dingin
妨げる,さまたげる,samatageru,JLPT N2,Verb,Ichidan (Group 2),妨げます,妨げない,妨げた,妨げて,妨げられる,妨げたい,妨げろ,妨げよう,妨げれば,妨げられる,妨げさせる,mengganggu; mencegah
刺さる,ささる,sasaru,JLPT N2,Verb,Godan (Group 1),刺さります,刺さらない,刺さった,刺さって,刺される,刺さりたい,刺され,刺さろう,刺されば,刺さられる,刺さらせる,menusuk (sesuatu dengan ujung yang tajam); menikam
囁く,ささやく,sasayaku,JLPT N2,Verb,Godan (Group 1),囁きます,囁かない,囁いた,囁いて,囁ける,囁きたい,囁け,囁こう,囁けば,囁かれる,囁かせる,berbisik; bergumam
差し引きする,さしひきする,sashihikisuru,JLPT N2,Verb,Suru (Group 3),差し引きします,差し引きしない,差し引きした,差し引きして,差し引きできる,差し引きしたい,差し引きしろ,差し引きしよう,差し引きすれば,差し引きされる,差し引きさせる,pengurangan; substitusi
刺す,さす,sasu,JLPT N2,Verb,Godan (Group 1),刺します,刺さない,刺した,刺して,刺せる,刺したい,刺せ,刺そう,刺せば,刺される,刺させる,menusuk; menikam
挿す,さす,sasu,JLPT N2,Verb,Godan (Group 1),挿します,挿さない,挿した,挿して,挿せる,挿したい,挿せ,挿そう,挿せば,挿される,挿させる,memasukkan; menempatkan
注す,さす,sasu,JLPT N2,Verb,Godan (Group 1),注します,注さない,注した,注して,注せる,注したい,注せ,注そう,注せば,注される,注させる,Menuang; menambahkan (cairan)
撮影する,さつえいする,satsueisuru,JLPT N2,Verb,Suru (Group 3),撮影します,撮影しない,撮影した,撮影して,撮影できる,撮影したい,撮影しろ,撮影しよう,撮影すれば,撮影される,撮影させる,fotografi (diam atau bergerak); memotret
整備する,せいびする,seibisuru,JLPT N2,Verb,Suru (Group 3),整備します,整備しない,整備した,整備して,整備できる,整備したい,整備しろ,整備しよう,整備すれば,整備される,整備させる,pemeliharaan; servis
生長する,せいちょうする,seichousuru,JLPT N2,Verb,Suru (Group 3),生長します,生長しない,生長した,生長して,生長できる,生長したい,生長しろ,生長しよう,生長すれば,生長される,生長させる,pertumbuhan; peningkatan
制作する,せいさくする,seisakusuru,JLPT N2,Verb,Suru (Group 3),制作します,制作しない,制作した,制作して,制作できる,制作したい,制作しろ,制作しよう,制作すれば,制作される,制作させる,"karya (film, buku)"
製作する,せいさくする,seisakusuru,JLPT N2,Verb,Suru (Group 3),製作します,製作しない,製作した,製作して,製作できる,製作したい,製作しろ,製作しよう,製作すれば,製作される,製作させる,manufaktur; produksi
清書する,せいしょする,seishosuru,JLPT N2,Verb,Suru (Group 3),清書します,清書しない,清書した,清書して,清書できる,清書したい,清書しろ,清書しよう,清書すれば,清書される,清書させる,salinan bersih
清掃する,せいそうする,seisousuru,JLPT N2,Verb,Suru (Group 3),清掃します,清掃しない,清掃した,清掃して,清掃できる,清掃したい,清掃しろ,清掃しよう,清掃すれば,清掃される,清掃させる,pembersihan; pembersihan
接近する,せっきんする,sekkinsuru,JLPT N2,Verb,Suru (Group 3),接近します,接近しない,接近した,接近して,接近できる,接近したい,接近しろ,接近しよう,接近すれば,接近される,接近させる,semakin dekat; mendekat
迫る,せまる,semaru,JLPT N2,Verb,Godan (Group 1),迫ります,迫らない,迫った,迫って,迫れる,迫りたい,迫れ,迫ろう,迫れば,迫られる,迫らせる,mendekati; mendekat
攻める,せめる,semeru,JLPT N2,Verb,Ichidan (Group 2),攻めます,攻めない,攻めた,攻めて,攻められる,攻めたい,攻めろ,攻めよう,攻めれば,攻められる,攻めさせる,menyerang; menghujat
宣伝する,せんでんする,sendensuru,JLPT N2,Verb,Suru (Group 3),宣伝します,宣伝しない,宣伝した,宣伝して,宣伝できる,宣伝したい,宣伝しろ,宣伝しよう,宣伝すれば,宣伝される,宣伝させる,publisitas; iklan
専制する,せんせいする,senseisuru,JLPT N2,Verb,Suru (Group 3),専制します,専制しない,専制した,専制して,専制できる,専制したい,専制しろ,専制しよう,専制すれば,専制される,専制させる,despotisme; otokrasi
背負う,せおう,seou,JLPT N2,Verb,Godan (Group 1),背負います,背負わない,背負った,背負って,背負える,背負いたい,背負え,背負おう,背負えば,背負われる,背負わせる,untuk dibawa di punggung
接する,せっする,sessuru,JLPT N2,Verb,Suru (Group 3),接します,接しない,接した,接して,接できる,接したい,接しろ,接しよう,接すれば,接される,接させる,menyentuh; bersentuhan dengan
接続する,せつぞくする,setsuzokusuru,JLPT N2,Verb,Suru (Group 3),接続します,接続しない,接続した,接続して,接続できる,接続したい,接続しろ,接続しよう,接続すれば,接続される,接続させる,koneksi; keterikatan
しゃぶる,しゃぶる,shaburu,JLPT N2,Verb,Godan (Group 1),しゃぶります,しゃぶらない,しゃぶった,しゃぶって,しゃぶれる,しゃぶりたい,しゃぶれ,しゃぶろう,しゃぶれば,しゃぶられる,しゃぶらせる,menghisap; menjilat
しゃがむ,しゃがむ,shagamu,JLPT N2,Verb,Godan (Group 1),しゃがみます,しゃがまない,しゃがんだ,しゃがんで,しゃがめる,しゃがみたい,しゃがめ,しゃがもう,しゃがめば,しゃがまれる,しゃがませる,untuk jongkok; berjongkok  しゃがむ: ichi1.
吃逆する,しゃっくりする,shakkurisuru,JLPT N2,Verb,Suru (Group 3),吃逆します,吃逆しない,吃逆した,吃逆して,吃逆できる,吃逆したい,吃逆しろ,吃逆しよう,吃逆すれば,吃逆される,吃逆させる,cegukan
写生する,しゃせいする,shaseisuru,JLPT N2,Verb,Suru (Group 3),写生します,写生しない,写生した,写生して,写生できる,写生したい,写生しろ,写生しよう,写生すれば,写生される,写生させる,membuat sketsa; menggambar dari alam
仕上がる,しあがる,shiagaru,JLPT N2,Verb,Godan (Group 1),仕上がります,仕上がらない,仕上がった,仕上がって,仕上がれる,仕上がりたい,仕上がれ,仕上がろう,仕上がれば,仕上がられる,仕上がらせる,untuk diselesaikan; untuk rampung
縛る,しばる,shibaru,JLPT N2,Verb,Godan (Group 1),縛ります,縛らない,縛った,縛って,縛れる,縛りたい,縛れ,縛ろう,縛れば,縛られる,縛らせる,mengikat; membelenggu
痺れる,しびれる,shibireru,JLPT N2,Verb,Ichidan (Group 2),痺れます,痺れない,痺れた,痺れて,痺れられる,痺れたい,痺れろ,痺れよう,痺れれば,痺れられる,痺れさせる,"menjadi mati rasa; tertidur (misalnya, anggota tubuh)"
萎む,しぼむ,shibomu,JLPT N2,Verb,Godan (Group 1),萎みます,萎まない,萎んだ,萎んで,萎める,萎みたい,萎め,萎もう,萎めば,萎まれる,萎ませる,"layu (misalnya bunga, mimpi); mengempis (misalnya balon, anggur)"
絞る,しぼる,shiboru,JLPT N2,Verb,Godan (Group 1),絞ります,絞らない,絞った,絞って,絞れる,絞りたい,絞れ,絞ろう,絞れば,絞られる,絞らせる,"memeras (handuk, kain lap); meremas"
